Statement of Account

Account Name:,MR ACCOUNT HOLDER
Account Number:,XXXXXXXX8891
Statement Period:,01/09/2025 to 31/07/2026

Txn Date,Value Date,Narration,Chq/Ref No,Withdrawal Amt.,Deposit Amt.,Closing Balance
18/07/2026,18/07/2026,UPI/DR/970287620756/UBER INDIA/HDFC/uber@icici/Ride,503223718653,605.00,,"-72,741.00"
18/07/2026,18/07/2026,UPI/DR/744002602510/BLINKIT/HDFC/blinkit@ybl/Groceries,948088134524,815.00,,"-73,556.00"
19/07/2026,19/07/2026,UPI/DR/146286268218/PAYTM QR/HDFC/merchant@paytm/Payment,242432044429,137.00,,"-73,693.00"
19/07/2026,19/07/2026,UPI/DR/406921329203/SWIGGY/HDFC/swiggy@icici/Payment,155898288027,160.00,,"-73,853.00"
22/07/2026,22/07/2026,NEFT-CULT FITNESS GYM MEMBERSHIP-574361349770,256987702686,"1,817.00",,"-75,670.00"
22/07/2026,22/07/2026,POS 4512XXXXXXXX8891 DMART PATIALA,987514905458,"3,471.00",,"-79,141.00"
22/07/2026,22/07/2026,UPI/DR/680902031726/NETFLIX INDIA/HDFC/netflix@ybl/Subscription,537699234573,330.00,,"-79,471.00"
26/07/2026,26/07/2026,UPI/DR/207855788629/HOUSE RENT MARCH/SBI/landlord@oksbi/Rent,727447610930,"11,722.00",,"-91,193.00"
29/07/2026,29/07/2026,UPI/DR/372511167022/UDEMY ONLINE/HDFC/udemy@ybl/Course,909046612875,"2,611.00",,"-93,804.00"
06/08/2026,06/08/2026,UPI/DR/998877665544/SWIGGY/HDFC/swiggy@icici/Party Order,286850246100,"9,400.00",,"-103,204.00"
--,GARBAGE ROW,,,abc,,

,,Closing Balance,,,,"-103,204.00"
*** End of Statement ***
